x y ey
1 2.111467878 .00560000000000000000
2 2.143261681 .01710000000000000000
3 2.148307130 .00740000000000000000
4 2.141785865 .00980000000000000000
5 2.163621328 .00270000000000000000
6 2.254196443 .01760000000000000000
7 3.011903520 .00330000000000000000
8 2.477366772 .00680000000000000000
9 10.738465443 .06560000000000000000
10 2.190236162 .01220000000000000000
11 12.885897802 .01190000000000000000
12 21.385271192 .01460000000000000000
13 118.280438887 .02860000000000000000
14 52.368228896 .00360000000000000000
15 403.926606146 .01460000000000000000
16 582.154832555 .24120000000000000000
